
---------- Begin Simulation Statistics ----------
simSeconds                                   0.112677                       # Number of seconds simulated (Second)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   715786822                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                       863394                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                         695499869                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                      92347589                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                  14363256                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                          139659585                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       62586191                       # Number of branches executed (Count)
system.cpu.numStoreInsts                     47311996                       # Number of stores executed (Count)
system.cpu.numRate                           3.086251                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                           11091                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          109249                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   262991506                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     573706032                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.856888                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.856888                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.167013                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.167013                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  761298793                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 521080147                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                     1393149                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                     676148                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                   234864306                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  247055981                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 296545652                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       18                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads       98348571                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      52202830                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       819652                       # Number of conflicting loads. (Count)
