
---------- Begin Simulation Statistics ----------
simSeconds                                   0.313598                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total     1160852855                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.850858                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                            28392734                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.024459                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads               2976958350                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites              2029866552                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses      1130338764                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   1686302                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                   852292                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses           825720                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                  1179163918                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                       843109                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                        1139265999                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                     160072611                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                  21586856                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                          240965316                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       90023846                       # Number of branches executed (Count)
system.cpu.numStoreInsts                     80892705                       # Number of stores executed (Count)
system.cpu.numRate                           1.816440                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                          101202                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          300357                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   414059434                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     824295576                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.514751                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.514751                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.660174                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.660174                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                 1143647978                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 870843789                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                     1371242                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                     679956                       # Number of floating regfile writes (Count)
