
---------- Begin Simulation Statistics ----------
simSeconds                                   0.309937                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     78.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     78.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     78.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     78.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     78.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     78.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     78.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead    161904039     13.94%     92.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite     85359569      7.35%     99.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead        87544      0.01%     99.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite       115137      0.01%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total     1161129512                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.873171                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                            28101789                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.024202                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads               2969831411                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites              2009011051                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses      1133155776                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   1696565                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                   857197                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses           847407                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                  1168448299                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                       848316                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                        1141685638                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                     158952031                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                  19443874                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                          238805122                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       89618215                       # Number of branches executed (Count)
system.cpu.numStoreInsts                     79853091                       # Number of stores executed (Count)
system.cpu.numRate                           1.841804                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                            5637                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          103641                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   419443135                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     829696736                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.477849                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.477849                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.676659                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.676659                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                 1133192276                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 864963723                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                     1391162                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                     674926                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                   394138608                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  320748779                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 490345358                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       18                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads      234209090                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores     120243350                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads    154428014                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores     86524224                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
